EmployeeId,FirstName,LastName,FullName,Email,PhoneNumber,StartDate,EndDate,Department,Job
EMP-0433,Madeline,Gray,Madeline Gray,Madeline.Gray@coaldbloodedmining.com,7878229836,2018-07-17,9999-12-31,Operations,Scheduler
EMP-0198,Brooke,Malone,Brooke Malone,Brooke.Malone@coaldbloodedmining.com,2104218265,2019-06-08,9999-12-31,Operations,Machine Operator
EMP-0389,Teresa,Davis,Teresa Davis,Teresa.Davis@coaldbloodedmining.com,(202)241-0157,2015-04-13,2015-11-29,Finance,Administration Officer
EMP-0456,Dana,Jackson,Dana Jackson,Dana.Jackson@coaldbloodedmining.com,560-711-6179,2018-12-21,2019-08-31,HR,HR Officer
EMP-0216,James,Howard,James Howard,James.Howard@coaldbloodedmining.com,919-737-1994,2018-07-07,2022-03-07,Operations,Operations Manager
EMP-0021,Meghan,Santiago,Meghan Santiago,Meghan.Santiago@coaldbloodedmining.com,(640)332-4475,2020-04-19,9999-12-31,Operations,Operations Manager
EMP-0133,Monica,Cole,Monica Cole,Monica.Cole@coaldbloodedmining.com,846-484-2528,2020-05-15,9999-12-31,Operations,Scheduler
EMP-0262,Andrew,Freeman,Andrew Freeman,Andrew.Freeman@coaldbloodedmining.com,(432)212-0777,2020-11-10,9999-12-31,Operations,Machine Operator
EMP-0249,Emma,Cook,Emma Cook,Emma.Cook@coaldbloodedmining.com,686-358-1903,2015-02-02,9999-12-31,Operations,Machine Operator
EMP-0208,Garrett,Mitchell,Garrett Mitchell,Garrett.Mitchell@coaldbloodedmining.com,(714)327-9363,2015-07-16,9999-12-31,Operations,Machine Operator
EMP-0471,Jennifer,Johnson,Jennifer Johnson,Jennifer.Johnson@coaldbloodedmining.com,(455)564-0014,2019-10-07,9999-12-31,Operations,Machine Operator
EMP-0402,Samuel,Andrews,Samuel Andrews,Samuel.Andrews@coaldbloodedmining.com,760-698-3432,2019-04-12,9999-12-31,Operations,Machine Operator
EMP-0425,Scott,Beck,Scott Beck,Scott.Beck@coaldbloodedmining.com,(205)866-8472,2016-01-23,2018-12-15,Operations,Engineer
EMP-0156,Stephanie,Allen,Stephanie Allen,Stephanie.Allen@coaldbloodedmining.com,3404147235,2019-05-21,9999-12-31,Finance,Payroll Officer
EMP-0245,Alvin,Ellis,Alvin Ellis,Alvin.Ellis@coaldbloodedmining.com,(257)745-6043,2015-05-15,9999-12-31,Operations,Machine Operator
EMP-0184,Brenda,Garcia,Brenda Garcia,Brenda.Garcia@coaldbloodedmining.com,(279)393-8987,2020-10-27,2024-07-18,Operations,Machine Operator
EMP-0299,Michael,Henderson,Michael Henderson,Michael.Henderson@coaldbloodedmining.com,2294911876,2020-09-07,9999-12-31,Operations,Scheduler
EMP-0457,Erin,Strickland,Erin Strickland,Erin.Strickland@coaldbloodedmining.com,862-274-4678,2016-06-08,9999-12-31,Finance,Administration Officer
EMP-0465,Julia,Garcia,Julia Garcia,Julia.Garcia@coaldbloodedmining.com,684-430-3878,2019-02-09,9999-12-31,Operations,Scheduler
EMP-0112,William,Knapp,William Knapp,William.Knapp@coaldbloodedmining.com,8713016679,2020-11-30,9999-12-31,Finance,Accountant
EMP-0259,Teresa,Gross,Teresa Gross,Teresa.Gross@coaldbloodedmining.com,845-539-3128,2018-09-30,9999-12-31,Finance,Administration Officer
